StudentID,StudyHours,Attendance,PreviousScore,AssignmentScore,InternalScore,SleepHours,InternetUsageHours,Extracurricular,FamilyBackground,FinalScore,PerformanceCategory
41,6.5,90.0,95.3,74.7,63.0,6.1,4.4,Yes,Graduate,84.3,Good
42,5.3,66.4,63.1,96.3,66.7,5.5,3.7,Yes,Graduate,65.0,Average
43,4.8,86.4,86.2,94.9,65.2,6.7,2.6,Yes,Graduate,83.6,Good
44,4.4,97.3,69.4,69.5,74.0,6.6,3.8,Yes,Graduate,73.8,Average
45,2.0,50.3,67.4,67.8,61.3,9.9,4.6,Yes,High School,62.9,Average
46,3.6,70.4,83.3,80.6,86.6,7.5,0.5,Yes,Graduate,75.9,Good
47,4.1,86.9,79.8,63.0,72.0,5.3,5.2,Yes,High School,60.6,Average
48,7.1,77.6,46.4,78.6,71.9,6.3,3.0,Yes,Postgraduate,75.1,Good
49,5.7,84.5,92.1,84.2,67.7,8.2,4.1,Yes,High School,72.2,Average
50,1.5,72.8,90.7,89.7,74.0,9.5,5.3,No,Graduate,69.0,Average
51,5.6,81.0,60.6,73.8,82.7,5.1,1.4,Yes,Postgraduate,79.2,Good
52,4.2,78.1,75.9,72.6,60.7,4.7,2.4,Yes,High School,69.4,Average
53,3.6,94.0,77.4,64.5,63.4,9.2,3.1,No,Postgraduate,81.3,Good
54,6.2,83.1,73.9,65.1,68.1,7.5,2.3,Yes,Postgraduate,82.4,Good
55,7.1,84.1,61.7,72.3,54.5,6.0,6.1,Yes,High School,66.0,Average
56,6.9,75.1,59.9,79.4,61.3,7.6,2.2,No,High School,73.5,Average
57,3.3,74.1,69.6,86.0,65.8,4.0,2.7,Yes,Graduate,65.7,Average
58,4.4,74.8,87.6,65.4,83.4,7.0,3.8,No,High School,66.1,Average
59,5.7,84.7,78.2,92.9,75.4,7.4,1.7,No,Graduate,76.6,Good
60,7.0,74.9,64.4,71.7,74.5,8.1,2.9,No,High School,73.3,Average
61,4.0,83.5,81.6,74.7,83.1,5.8,4.0,Yes,Graduate,64.4,Average
62,4.6,100.0,27.3,66.0,70.2,7.1,3.0,Yes,Graduate,63.6,Average
63,2.8,90.5,87.2,45.9,77.1,5.9,3.4,Yes,Postgraduate,67.8,Average
64,2.6,76.1,43.9,85.6,70.7,7.3,2.7,Yes,High School,54.4,Needs Improvement
65,6.6,94.4,64.6,83.8,75.4,5.9,1.2,Yes,High School,83.0,Good
66,7.7,75.1,53.2,71.6,64.4,6.5,4.0,Yes,High School,75.8,Good
67,4.9,55.5,50.6,75.8,40.3,5.8,6.1,Yes,High School,55.7,Needs Improvement
68,7.0,67.9,87.4,81.2,70.3,7.8,3.5,Yes,Graduate,81.0,Good
69,5.7,57.6,63.0,56.2,90.5,8.0,3.8,Yes,High School,75.1,Good
70,3.7,75.8,75.2,68.7,84.0,6.7,4.5,Yes,Graduate,74.3,Average
71,5.7,80.2,69.3,84.5,84.6,7.0,1.6,No,Postgraduate,80.4,Good
72,8.1,100.0,77.2,59.9,88.1,5.3,6.1,Yes,Postgraduate,77.7,Good
73,4.9,83.9,71.2,78.5,73.2,6.6,3.8,Yes,Graduate,75.4,Good
74,8.1,77.4,50.8,58.7,74.6,6.9,5.9,No,High School,75.5,Good
75,1.0,90.0,84.9,80.6,64.0,10.0,2.4,Yes,Graduate,69.4,Average
76,6.6,53.5,62.6,74.6,67.9,5.7,6.2,Yes,Postgraduate,77.3,Good
77,5.2,82.8,46.7,55.6,80.0,8.8,4.7,Yes,High School,65.3,Average
78,4.4,89.3,63.6,89.0,87.7,8.2,4.3,No,High School,75.5,Good
79,5.2,62.3,92.5,66.2,70.2,7.3,3.9,Yes,Graduate,72.0,Average
80,1.0,93.7,82.8,65.3,66.1,9.1,3.1,Yes,Graduate,69.8,Average
81,4.6,84.1,64.8,77.4,72.0,7.4,5.3,Yes,Graduate,61.9,Average
82,5.7,75.0,64.8,88.8,79.8,7.5,3.7,No,Graduate,72.4,Average
83,8.0,87.6,65.2,62.8,53.2,6.9,0.5,Yes,High School,72.4,Average
84,4.0,100.0,100.0,75.7,42.1,8.5,1.8,Yes,High School,79.2,Good
85,3.4,82.2,75.7,80.1,64.8,8.3,3.2,No,High School,75.2,Good
86,4.0,83.0,76.5,83.3,56.1,6.2,4.0,Yes,High School,72.8,Average
87,6.8,74.5,85.5,77.1,65.4,5.4,3.4,No,High School,64.4,Average
88,5.7,69.8,73.6,70.6,70.1,6.8,5.3,Yes,Postgraduate,81.6,Good
89,3.9,90.0,66.1,65.1,66.1,6.0,0.6,No,High School,69.7,Average
90,6.0,69.7,67.1,76.0,90.9,6.9,3.7,Yes,High School,73.5,Average
91,5.2,80.9,68.9,62.1,76.2,8.5,0.8,No,Graduate,75.9,Good
92,6.9,74.3,69.4,39.9,75.9,6.5,4.6,No,Graduate,69.9,Average
93,3.6,85.7,80.9,80.2,80.1,6.9,3.4,Yes,Postgraduate,72.5,Average
94,4.3,84.0,70.8,85.8,57.2,7.1,4.1,Yes,Graduate,71.6,Average
95,4.2,92.5,81.0,46.6,85.5,8.0,2.2,Yes,Graduate,73.7,Average
96,2.1,73.9,68.8,62.9,71.0,4.3,5.4,Yes,High School,55.7,Needs Improvement
97,5.6,76.8,71.2,82.4,80.7,6.3,5.1,Yes,High School,71.7,Average
98,5.5,68.3,40.0,99.7,58.1,7.3,4.4,Yes,High School,58.8,Needs Improvement
99,5.0,74.7,83.7,75.2,51.8,8.4,3.3,Yes,Graduate,74.7,Average
100,4.5,84.5,75.2,66.3,82.6,6.4,4.4,Yes,High School,76.3,Good
101,2.2,89.1,85.0,72.8,76.9,4.7,2.4,Yes,High School,72.8,Average
102,4.2,68.9,26.6,91.5,60.3,7.7,4.8,No,High School,60.7,Average
103,4.3,90.4,100.0,67.2,60.7,6.2,6.0,Yes,Postgraduate,75.4,Good
104,3.4,96.3,67.9,65.4,86.6,5.6,5.1,Yes,High School,66.5,Average
105,4.7,85.0,86.6,69.2,56.5,6.3,2.4,Yes,Postgraduate,77.8,Good
106,5.8,100.0,54.4,63.6,93.4,6.8,4.0,Yes,High School,69.1,Average
107,8.8,70.7,79.2,76.5,60.3,6.3,1.6,Yes,Graduate,78.3,Good
108,5.3,65.1,54.2,94.5,80.3,4.4,4.4,Yes,High School,64.0,Average
109,5.5,58.7,60.6,78.9,67.7,8.1,4.2,Yes,High School,75.2,Good
110,4.9,98.0,98.7,72.0,79.8,8.5,0.7,No,High School,91.0,Excellent
111,1.2,87.9,67.1,71.5,64.9,7.8,1.8,Yes,High School,67.3,Average
112,4.9,79.3,73.3,56.2,69.9,5.6,3.1,No,High School,72.9,Average
113,5.1,83.4,83.1,85.6,72.5,6.8,3.0,No,Graduate,72.8,Average
114,9.9,66.5,77.4,74.1,59.0,7.0,1.7,No,High School,84.5,Good
115,4.6,100.0,72.3,72.8,81.6,7.7,4.1,No,Graduate,74.9,Average
116,5.6,81.6,75.5,100.0,65.3,7.8,3.9,Yes,Postgraduate,83.7,Good
117,4.9,81.3,100.0,78.6,69.0,6.1,3.2,Yes,Graduate,79.5,Good
118,2.7,88.7,69.1,66.0,59.1,7.1,2.4,No,Graduate,61.9,Average
119,7.3,85.8,73.0,69.9,38.7,7.5,5.1,Yes,High School,75.0,Good
120,6.5,82.7,85.8,88.8,69.5,8.7,6.0,Yes,High School,87.0,Good
121,6.6,70.5,86.6,76.4,100.0,7.8,2.8,No,High School,82.4,Good
122,3.2,85.7,87.8,57.7,82.2,7.9,2.6,No,Graduate,73.2,Average
123,7.8,100.0,79.6,86.0,71.7,7.1,4.2,No,High School,79.2,Good
124,2.2,96.1,52.9,67.0,68.6,8.7,3.0,No,Graduate,50.4,Needs Improvement
125,6.2,99.1,94.5,97.5,72.3,7.5,3.3,No,High School,88.2,Good
126,9.4,73.9,52.8,88.0,79.1,6.0,4.6,Yes,High School,83.2,Good
127,3.0,68.1,74.5,69.6,56.6,8.7,0.6,No,High School,68.2,Average
128,3.9,78.5,58.7,90.4,86.5,7.8,5.5,Yes,Graduate,62.0,Average
129,5.2,80.7,69.0,75.8,81.3,6.5,3.6,Yes,Postgraduate,73.2,Average
130,4.0,93.1,74.9,85.2,81.3,6.4,2.9,No,Graduate,64.1,Average
131,1.9,59.7,74.8,80.8,77.7,7.4,3.4,Yes,High School,73.5,Average
132,5.1,98.4,76.3,64.8,72.3,7.6,3.4,Yes,Graduate,71.6,Average
133,2.9,78.1,94.2,67.3,80.7,7.2,0.9,Yes,High School,83.6,Good
134,5.9,74.9,76.8,87.4,79.7,7.4,5.7,No,Graduate,81.1,Good
135,3.2,67.9,66.3,71.0,67.4,9.0,3.6,Yes,High School,62.6,Average
136,8.1,60.1,84.5,70.2,64.5,8.3,4.2,No,Postgraduate,73.0,Average
137,3.4,89.9,87.8,63.5,73.3,7.2,4.9,Yes,High School,74.4,Average
138,4.4,80.9,51.6,80.1,92.1,8.1,2.0,No,Graduate,68.7,Average
139,6.6,64.5,79.0,99.8,55.9,5.8,4.2,No,High School,74.4,Average
140,2.5,64.5,80.5,62.2,52.9,7.5,3.1,Yes,High School,60.6,Average
141,5.5,76.0,65.5,75.3,74.1,9.2,4.8,Yes,High School,65.7,Average
142,7.6,100.0,90.6,91.9,72.7,6.7,0.5,Yes,Graduate,82.0,Good
143,1.8,76.9,67.7,74.0,74.3,6.0,3.4,No,High School,62.7,Average
144,5.4,62.0,71.9,80.4,75.2,6.2,2.6,No,High School,68.9,Average
145,5.5,77.1,67.4,62.3,69.1,5.7,4.1,No,Graduate,64.1,Average
146,6.6,76.7,70.2,80.1,91.4,6.1,4.2,Yes,Graduate,83.2,Good
147,2.5,47.6,53.6,72.8,51.2,6.6,2.4,No,Postgraduate,58.6,Needs Improvement
148,2.4,79.3,48.4,86.8,61.2,5.3,2.4,No,Graduate,56.6,Needs Improvement
149,6.0,77.2,93.9,89.2,70.7,7.0,3.3,No,Graduate,79.9,Good
150,5.6,88.4,57.3,100.0,50.6,8.1,2.2,No,High School,75.4,Good
151,5.5,100.0,55.1,82.0,69.7,5.9,4.8,Yes,Postgraduate,64.8,Average
152,5.7,93.5,37.7,78.9,93.6,8.8,2.9,Yes,Graduate,77.6,Good
153,3.6,76.8,60.4,77.3,72.3,7.6,0.5,No,High School,72.0,Average
154,5.5,66.7,50.2,70.8,75.0,8.2,2.9,No,Graduate,71.2,Average
155,5.6,100.0,94.6,79.1,55.6,6.2,1.9,Yes,Graduate,71.9,Average
156,3.6,80.7,85.1,71.5,64.0,8.0,1.1,Yes,Graduate,71.4,Average
157,8.7,80.2,59.7,77.0,67.1,5.7,1.6,Yes,Postgraduate,75.3,Good
158,5.9,79.7,100.0,90.8,67.9,8.1,3.7,Yes,Graduate,86.3,Good
159,2.6,82.4,84.7,62.9,88.7,7.2,5.5,Yes,Graduate,73.6,Average
160,6.3,78.3,65.1,88.7,79.2,7.7,4.0,No,High School,84.5,Good
161,3.1,73.1,32.5,90.8,57.6,5.6,2.6,No,Postgraduate,52.4,Needs Improvement
162,6.6,73.4,100.0,73.6,75.2,5.9,4.2,Yes,Graduate,79.9,Good
163,7.3,79.6,49.2,49.5,78.5,7.7,2.8,Yes,High School,78.7,Good
164,3.4,73.5,45.3,67.7,86.8,5.9,2.5,Yes,Graduate,65.2,Average
165,6.9,71.4,85.3,90.6,92.5,7.6,1.8,Yes,High School,96.0,Excellent
166,5.8,81.3,100.0,74.7,58.8,5.4,0.9,No,High School,80.5,Good
167,6.6,76.9,90.8,63.0,61.5,8.0,2.9,No,High School,72.4,Average
168,8.8,98.0,78.5,68.9,55.7,5.5,3.7,Yes,Graduate,74.5,Average
169,4.5,48.2,78.9,85.1,69.0,7.7,3.4,No,Graduate,62.1,Average
170,3.5,93.1,82.8,81.6,78.1,7.8,2.9,No,Graduate,79.6,Good
171,3.2,95.0,81.4,72.1,84.8,6.2,2.1,No,High School,80.3,Good
172,3.4,55.1,74.2,70.6,71.0,7.7,4.4,Yes,Graduate,75.3,Good
173,4.8,75.9,71.6,70.3,67.8,7.3,1.5,No,Postgraduate,75.8,Good
174,5.7,75.5,69.1,63.9,74.0,6.4,4.7,Yes,High School,76.8,Good
175,5.6,63.1,58.7,94.4,61.1,5.8,2.0,Yes,High School,67.5,Average
176,6.7,70.7,65.8,71.1,99.2,4.6,2.4,Yes,High School,72.5,Average
177,5.0,66.7,44.6,89.6,51.1,7.4,1.3,Yes,High School,70.2,Average
178,7.9,100.0,68.5,93.3,74.4,5.1,2.7,Yes,Postgraduate,86.8,Good
179,4.5,91.2,55.2,87.0,98.3,7.1,5.0,Yes,Graduate,76.1,Good
180,10.0,95.3,53.4,69.8,72.1,6.7,4.3,Yes,High School,83.8,Good
181,6.3,88.7,72.7,79.8,69.5,7.8,5.0,No,High School,77.7,Good
182,3.3,66.5,90.9,74.7,67.4,6.6,4.3,No,High School,74.7,Average
183,2.9,73.7,83.8,64.2,69.7,6.6,1.8,Yes,Postgraduate,76.1,Good
184,6.0,85.9,46.4,78.9,89.8,7.9,3.0,No,Graduate,77.1,Good
185,4.6,65.3,55.2,60.9,43.2,7.4,2.3,No,Graduate,62.6,Average
186,6.4,88.6,84.1,89.3,91.9,7.4,5.5,No,High School,86.8,Good
187,5.9,77.1,55.3,69.4,53.5,7.6,1.7,Yes,Graduate,67.3,Average
188,4.9,75.5,66.6,77.4,68.5,5.2,4.8,No,High School,69.4,Average
189,3.3,88.5,78.3,78.4,66.4,7.9,4.8,No,High School,62.5,Average
190,2.0,85.3,55.5,71.9,79.7,7.7,6.2,No,High School,65.3,Average
191,4.1,75.7,71.6,82.0,51.2,5.8,2.9,Yes,High School,61.0,Average
192,6.7,93.9,50.0,69.3,78.0,6.7,4.6,Yes,Graduate,74.9,Average
193,5.4,67.0,61.0,85.5,98.3,7.0,6.9,No,Graduate,67.5,Average
194,2.5,87.4,74.8,58.8,54.3,6.8,2.6,Yes,High School,66.9,Average
195,5.3,87.1,46.1,76.5,74.5,7.4,1.2,Yes,High School,72.5,Average
196,5.8,76.3,76.6,98.3,63.4,8.7,0.7,Yes,High School,75.1,Good
197,3.2,83.9,69.7,63.0,77.5,8.3,4.6,No,Graduate,69.3,Average
198,5.3,65.0,78.3,66.9,72.2,5.4,0.7,No,Graduate,69.0,Average
199,5.1,91.1,73.4,81.2,63.7,7.7,2.9,Yes,High School,81.1,Good
200,2.7,77.8,90.5,77.2,78.3,8.6,4.2,No,High School,73.3,Average
201,5.7,73.7,71.9,79.2,95.5,7.5,3.8,Yes,High School,82.3,Good
202,6.1,92.6,63.6,80.9,69.5,8.3,4.1,No,Graduate,70.8,Average
203,7.2,71.5,71.8,82.6,81.4,9.4,3.8,No,High School,78.7,Good
204,7.1,63.1,78.1,88.3,55.2,8.2,5.4,No,High School,72.3,Average
205,2.2,61.3,70.7,79.9,59.6,7.3,2.1,No,High School,66.4,Average
206,3.1,87.3,70.6,72.1,78.1,8.3,2.5,Yes,Graduate,81.5,Good
207,6.0,64.6,59.5,83.1,91.3,7.2,2.3,No,High School,71.6,Average
208,6.0,100.0,60.1,97.8,76.6,7.0,4.7,Yes,Postgraduate,84.7,Good
209,6.0,55.0,49.0,73.4,67.9,6.6,4.9,No,High School,51.5,Needs Improvement
210,10.0,100.0,96.2,63.3,72.0,8.9,4.2,No,High School,87.0,Good
211,6.1,82.5,51.3,88.3,55.7,6.0,5.3,No,High School,60.9,Average
212,7.3,78.8,59.6,73.6,79.9,8.8,1.7,Yes,High School,74.8,Average
213,6.9,73.5,59.2,48.9,83.5,7.6,6.0,No,High School,61.2,Average
214,6.3,84.8,83.4,85.2,66.1,5.3,5.8,Yes,Graduate,78.7,Good
215,4.4,79.5,65.6,68.6,65.9,7.4,4.6,Yes,Graduate,66.8,Average
216,6.5,93.2,88.7,73.9,75.5,4.5,6.2,No,Graduate,78.3,Good
217,3.5,81.4,59.9,79.0,66.3,7.8,1.0,Yes,High School,73.4,Average
218,4.5,81.8,74.2,77.3,71.1,8.1,2.7,No,Postgraduate,75.0,Good
219,4.0,75.6,57.5,83.5,99.3,6.3,2.4,Yes,High School,77.5,Good
220,5.2,79.3,100.0,69.8,68.8,7.1,4.6,Yes,Graduate,78.5,Good
221,9.6,83.7,52.2,81.2,67.3,9.3,1.9,No,Graduate,77.4,Good
222,1.3,59.5,74.6,71.9,63.6,6.4,4.6,Yes,Postgraduate,63.7,Average
223,6.4,63.8,79.5,83.9,81.7,5.7,5.6,Yes,High School,73.7,Average
224,1.8,88.9,76.2,82.4,69.6,8.8,4.5,No,Graduate,63.1,Average
225,4.1,82.1,67.2,63.8,63.6,9.4,3.9,Yes,High School,68.7,Average
226,7.2,77.8,68.1,88.0,89.2,7.0,2.0,No,Graduate,78.3,Good
227,5.1,80.2,70.7,68.6,90.5,8.2,2.2,Yes,Graduate,77.2,Good
228,2.8,84.2,67.8,84.7,64.2,8.6,5.4,No,High School,67.6,Average
229,3.6,73.5,84.5,79.4,47.7,6.1,4.7,No,Graduate,65.8,Average
230,6.4,70.7,100.0,97.1,85.1,6.4,3.4,No,High School,81.8,Good
231,3.5,82.4,61.6,72.3,63.1,8.5,2.9,Yes,Graduate,65.7,Average
232,5.4,68.3,49.5,70.8,82.3,9.0,0.5,No,Graduate,77.9,Good
233,5.1,84.9,68.7,74.8,46.4,7.7,1.9,No,Graduate,71.6,Average
234,3.7,59.6,100.0,71.4,83.6,5.9,6.4,No,Postgraduate,80.9,Good
235,9.3,92.3,57.9,84.6,56.3,9.4,1.6,Yes,High School,91.7,Excellent
236,6.3,85.7,94.6,55.6,81.5,6.4,3.8,No,High School,85.1,Good
237,1.0,83.1,95.2,62.4,72.2,6.6,5.0,No,Graduate,57.3,Needs Improvement
238,5.4,91.8,61.7,62.2,59.6,7.4,1.6,Yes,Graduate,75.6,Good
239,3.7,100.0,78.5,86.4,66.7,8.9,3.8,Yes,High School,77.2,Good
240,6.7,92.2,94.4,95.5,80.9,8.0,4.9,No,Postgraduate,85.3,Good
241,3.4,57.9,64.3,73.7,73.4,7.5,3.5,Yes,High School,66.5,Average
242,4.8,64.6,66.9,73.0,79.6,7.6,7.8,No,Graduate,70.2,Average
243,6.0,72.5,61.3,75.8,97.7,7.1,1.0,No,High School,81.0,Good
244,6.7,80.3,54.8,88.9,51.7,7.7,5.1,No,High School,64.8,Average
245,2.6,86.2,60.3,63.9,93.0,4.0,3.2,Yes,High School,68.7,Average
246,4.3,71.3,51.6,77.9,73.4,6.6,4.7,Yes,Postgraduate,61.8,Average
247,4.1,82.2,70.5,86.7,60.3,7.3,4.2,No,Graduate,69.6,Average
248,3.7,70.9,58.5,81.0,54.7,5.6,2.4,Yes,High School,61.3,Average
249,8.5,72.7,73.5,77.3,69.5,7.5,3.8,No,Postgraduate,79.0,Good
250,5.8,63.1,46.7,87.0,84.0,6.8,0.7,Yes,High School,77.8,Good
251,2.5,68.9,75.0,42.6,70.3,9.1,4.4,Yes,High School,58.0,Needs Improvement
252,6.8,63.8,82.5,83.1,91.6,8.9,3.9,Yes,High School,95.6,Excellent
253,9.2,68.3,40.1,67.2,53.1,6.4,4.5,Yes,High School,59.2,Needs Improvement
254,7.1,92.6,75.6,53.0,71.8,6.8,5.1,No,Graduate,71.5,Average
255,2.0,68.6,88.4,81.1,55.7,6.9,4.1,Yes,Graduate,67.7,Average
256,4.0,100.0,51.9,91.5,76.7,6.5,3.7,Yes,Postgraduate,74.6,Average
257,7.5,85.9,95.1,73.4,83.5,7.2,2.2,Yes,Postgraduate,89.9,Good
258,3.6,82.2,76.3,86.4,66.5,6.1,2.4,Yes,High School,72.0,Average
259,5.9,69.7,59.4,94.3,38.1,5.6,5.3,Yes,Graduate,66.3,Average
260,6.5,88.4,69.2,90.8,74.6,7.7,5.7,No,Postgraduate,76.6,Good
261,3.1,73.1,78.4,94.7,77.7,7.8,3.1,Yes,Postgraduate,82.2,Good
262,4.9,81.5,71.1,83.9,77.3,6.0,3.6,Yes,Graduate,78.9,Good
263,1.0,100.0,78.1,75.9,88.1,8.1,2.1,Yes,High School,78.4,Good
264,3.0,78.8,56.2,55.8,58.1,6.2,5.3,No,Graduate,49.5,Needs Improvement
265,4.5,93.8,72.5,72.0,80.8,7.3,4.5,Yes,Graduate,74.9,Average
266,2.5,71.6,48.8,64.9,87.5,8.0,6.4,Yes,High School,59.0,Needs Improvement
267,8.3,79.6,68.3,100.0,48.9,7.0,2.2,No,High School,74.4,Average
268,2.1,100.0,56.4,72.9,76.2,7.5,2.9,Yes,Postgraduate,69.0,Average
269,4.1,72.5,59.0,76.5,65.4,6.4,3.8,Yes,High School,62.5,Average
270,5.3,100.0,88.5,81.6,70.9,6.8,4.5,Yes,High School,84.1,Good
271,7.9,88.5,86.4,75.5,76.5,6.8,3.2,No,Postgraduate,79.5,Good
272,2.1,73.3,79.1,95.3,65.7,6.1,2.2,Yes,High School,78.2,Good
273,7.3,87.6,53.6,67.5,63.2,6.8,4.8,No,High School,65.2,Average
274,5.0,91.7,65.3,77.3,72.4,5.1,4.6,No,Graduate,70.0,Average
275,3.0,87.5,88.2,66.1,57.9,6.4,2.1,Yes,High School,74.5,Average
276,5.9,61.2,72.1,59.2,57.9,6.7,5.5,Yes,Graduate,63.2,Average
277,5.4,71.3,100.0,67.7,80.8,6.7,5.3,Yes,Graduate,83.5,Good
278,3.8,77.0,75.9,74.6,57.1,6.7,3.7,No,Postgraduate,59.7,Needs Improvement
279,5.1,79.1,72.9,69.8,80.7,6.9,3.6,Yes,High School,82.3,Good
280,4.2,87.4,65.4,66.7,78.0,7.6,4.3,Yes,High School,71.2,Average
281,5.2,82.1,72.0,58.1,49.6,8.0,2.2,Yes,High School,67.3,Average
282,6.3,64.0,67.7,74.0,63.2,6.2,3.5,No,Postgraduate,67.5,Average
283,8.2,84.6,80.6,56.9,87.5,5.6,0.5,Yes,Graduate,90.3,Excellent
284,2.5,87.3,84.4,84.1,59.2,5.7,4.8,No,Graduate,62.8,Average
285,9.3,86.7,58.2,76.0,66.0,6.4,1.2,Yes,Graduate,78.8,Good
286,1.1,93.0,50.0,57.5,78.0,6.6,5.8,Yes,High School,55.1,Needs Improvement
287,4.7,90.0,42.5,71.3,82.2,6.1,3.0,Yes,Graduate,62.0,Average
288,6.2,85.5,77.6,66.0,68.7,5.4,3.2,Yes,High School,84.5,Good
289,5.6,79.2,53.4,78.8,64.2,6.5,2.6,Yes,High School,67.0,Average
290,3.8,60.1,37.7,91.1,90.5,7.2,3.1,Yes,Graduate,70.4,Average
291,4.6,85.2,75.8,52.5,94.6,7.7,5.6,No,High School,73.4,Average
292,4.0,82.5,100.0,76.4,84.7,6.3,0.5,No,High School,76.7,Good
293,3.8,83.3,69.9,73.1,73.1,6.5,5.4,No,Graduate,66.2,Average
294,6.7,64.7,82.6,83.1,61.5,5.9,4.0,Yes,High School,79.9,Good
295,5.7,67.0,71.2,77.6,61.2,7.0,1.7,Yes,High School,72.7,Average
296,3.6,92.6,68.5,66.0,78.8,6.0,1.9,Yes,High School,77.6,Good
297,6.8,79.5,83.8,71.2,77.4,7.7,6.0,No,Postgraduate,83.2,Good
298,5.6,88.2,65.6,65.4,90.2,4.9,2.1,No,High School,78.6,Good
299,6.6,80.3,74.0,87.9,80.5,6.6,1.8,Yes,High School,81.0,Good
300,6.3,80.4,74.8,75.3,52.5,7.4,5.2,Yes,Graduate,67.2,Average
301,3.3,91.3,60.0,97.8,85.7,7.2,4.0,Yes,High School,71.1,Average
302,3.9,73.8,84.9,74.3,59.0,10.0,2.1,Yes,High School,76.7,Good
303,6.5,81.2,67.4,66.5,67.0,7.4,3.8,Yes,Graduate,77.2,Good
304,6.2,74.5,58.7,56.8,75.3,5.8,2.0,No,High School,58.0,Needs Improvement
305,5.0,74.8,78.0,53.4,97.9,6.9,5.2,No,High School,72.7,Average
306,5.2,76.3,56.5,56.0,100.0,4.9,5.1,Yes,High School,69.5,Average
307,7.6,82.7,70.4,78.2,79.9,6.9,4.3,Yes,High School,80.0,Good
308,3.8,74.3,69.9,81.1,69.6,6.0,4.0,No,High School,72.7,Average
